Высота;Выста;
Глубина;Глубна;
Грузоподъемность;Грузаподъемность;Грузподъемность
Давление;;
Диагональ;;
Диаметр;;
Длина;Длинна;Длна
Количество;Количеством;Колличество
Марка;;
Масса;;
Мощность;Мощьность;
Нагрузка;;
Напряжение;;
Наружный;;
Номер;;
Номинальное;Номинальный;
Объем;;
Отверстие;;
Относ;;
Паропроизводительность;;
Перемещение;;
Периметр;;
Плотность;;
Площадь;;
Предел;;
Продолжительность;;
Производительность;;
Прочность;;
Радиус;;
Расстояние;Растояние;
Расход;;
Сечение;;
Скорость;;
Сторона;Старана;
Температура;;
Теплопроизводительность;Теплпроизводительность;
Ток;Так;
Толщина;Талщина;
Усилие;;
Условное;;
Холодоотдача;;
Холодопроизводительность;;
Частота;Чистота;
Шаг;Шог;
Ширина;Шырина;
